FECHA DEL EVENTO;DIRECCIÓN ATENCIÓN DEL INCIDENTE;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS;RECURSOS;RECURSOS;RECURSOS;;;;;;;;;;;;RECURSOS;RECURSOS;TOTAL RECURSOS;J1;;;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;SUBCLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÍCULO;SUBCLASE DE VEHÍCULO;ÁREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÁREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;Población Expuesta Hombres;Población Expuesta Mujeres;;
FECHA DEL EVENTO;DIRECCIÓN ATENCIÓN DEL INCIDENTE;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS512;RECURSOS511;RECURSOS510;RECURSOS59;RECURSOS58;RECURSOS57;RECURSOS56;RECURSOS55;RECURSOS54;RECURSOS53;RECURSOS52;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;Columna2;Columna1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;SUBCLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÍCULO;SUBCLASE DE VEHÍCULO;ÁREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÁREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;Población Expuesta Hombres;Población Expuesta Mujeres;Población Afectada Hombres;Población Afectada Mujeres
viernes 3 de enero de 2020;;00:03:00;01:53:00;ME-32;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.12 ADMINISTRACIÓN PÚBLICA;1.1.12.2 SEDES ADMINISTRATIVAS DE SERVICIOS PÚBLICOS;;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;1;;1;
sábado 4 de enero de 2020;KR 14A    53    35 SUR ;00:07:00;01:41:00;ME-40;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.2 COMERCIO ZONAL;;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;2;;2;
sábado 4 de enero de 2020;CL 165    7      ;00:08:00;02:16:00;ME-42;"CT-10
";;;;;;;;;;;;;;;;;2;;;;;;;;2;1;4;;7;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.4 VEHÍCULO DE TRANSPORTE MASIVO;1.2.4.4 SITP - BUS;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;1;
sábado 4 de enero de 2020;KR 13    13    37  ;00:03:00;02:52:00;ME-21;UR-01;CT-1;;;;;;;;;;;;;;;;3;;;;;;;;2;2;9;;13;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;6;1;6
sábado 4 de enero de 2020;CL 13A    83    25  ;00:07:00;02:39:00;ME-16;CT-8;;;;;;;;;;;;;;;;;2;;;;;;;;;1;6;;8;1. INCENDIOS;1.2 VEHICULARES;;;"
";;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.2 CAMIONETA;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;1;
sábado 4 de enero de 2020;CL 48B   SUR 10B    61  ;00:16:00;03:17:00;ME-40;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;300;30000;1.3.3.3  OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;
sábado 4 de enero de 2020;CL 26   SUR 78H    30  ;00:04:00;00:59:00;ME-22;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;2;;2
sábado 4 de enero de 2020;CL 84C   SUR 14    51  ;00:08:00;04:41:00;ME-31;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;30;300;1.3.3.3  OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;
sábado 4 de enero de 2020;CL 79F   SUR 1A    26 ESTE ;00:08:00;03:43:00;ME-31;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;70;400;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;
sábado 4 de enero de 2020;CL 73A   SUR 5    41  ;00:15:00;03:00:00;ME-31;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MÁS DE 5000 MTS/2;1.3.3.1 VEGETACIÓN NATIVA;;;;;;8000;CERRO DOÑA JUANA ;1.3.1.13  OTRAS, CUAL, DESCRIBALA;ACCIDENTAL;;;;
