FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
miércoles 3 de enero de 2018;CL 175 17B 80;00:11;04:41;ME25;ME04;CT10;;;;;;;;3;;;;;;;;0;;1;2;9;;12;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
jueves 4 de enero de 2018;KR 100 17;00:04;01:52;ME15;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.2 VEHICULO DE SERVICIO PUBLICO;1.2.2.5 TAXI;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 4 de enero de 2018;AV AMERICAS 53A;00:11;02:44;ME34;MLI02;;;;;;;;;2;;;;;;;;0;;1;1;8;;10;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.4 VEHICULO DE TRANSPORTE MASIVO;1.2.4.2 ARTICULADO;P.1 LLAMA ABIERTA;PROVOCADA;;;3;2;1;3;2;1;;;;3;2;1;;;
jueves 4 de enero de 2018;CL 48 SUR 86 70;00:07;00:51;ME22;CT06;MA04;;;;;;;;3;;;;;;;;0;;3;2;7;;12;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 4 de enero de 2018;KR 105 BIS 22H 28;00:06;00:57;ME15;CT08;;;;;;;;;2;R6;;;;;;;1;1;1;2;10;;14;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;I. INDETERMINADA;INDETERMINADA;;;;1;;;1;;;;;;;;;;
jueves 4 de enero de 2018;DG 61 SUR 20A 30;00:05;00:45;ME24;;;;;;;;;;1;X15;;;;;;;1;;1;1;6;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;I. INDETERMINADA;INDETERMINADA;;;;1;;;1;;;;;;;;;;
jueves 4 de enero de 2018;CL 5 12 25;00:06;00:37;ME21;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;P.1 LLAMA ABIERTA;PROVOCADA;;;1;;;1;;;;;;;;;;;
viernes 5 de enero de 2018;CL 34 SUR 86 18;00:07;01:09;MA04;CT06;;;;;;;;;2;;;;;;;;0;;;3;5;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.1 FABRICAS;1.1.2.1.1 PROCESAMIENTO INDUSTRIAL;;;A.12 SUPERFICIES CALIENTES;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
viernes 5 de enero de 2018;KR 86F 34 SUR ;00:05;01:01;ME22;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.1 VEHICULO  PARTICULAR;1.2.1.1 AUTOMOVIL;I. INDETERMINADA;INDETERMINADA;;;1;;;1;;;;;;;;;;;
viernes 5 de enero de 2018;CL 180A 48 15;00:06;01:35;ME20;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;2;;;2;;;;;;;;;;
