FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
jueves 1 de enero de 2015;CL 85D SUR 80 I;0:06;1:40;ME02;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;1.1.2.2.1 ALMACENAMIENTO;;;B.13.4 IMPRUDENCIA - pólvora;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 1 de enero de 2015;KR 110 BIS 63 51;0:03;3:00;ME09;;;;;;;;;;1;R15;;;;;;;1;;;;6;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.24 SUPERFICIES CALIENTES;B. ACCIDENTAL;;;2;;;2;;;;;;;;;;;
jueves 1 de enero de 2015;KR 6 2A 23;0:05;3:36;ME16;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;1.1.2.2.1 ALMACENAMIENTO;;;B.13.4 IMPRUDENCIA - pólvora;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 1 de enero de 2015;CL 38 SUR 97C 03;0:09;0:28;ME22;ME13;CT6;;;;;;;;3;R5;;;;;;;1;1;1;1;11;;14;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;C.5 OTROS;C. PROVOCADA;;;2;1;;2;1;;;;;;;;;;
jueves 1 de enero de 2015;KR 102 155 19;0:06;0:59;ME32;;;;;;;;;;1;R12;;;;;;;1;;;1;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.2 VIVIENDA MAYORES 3 PISOS;;;B.22.2 FALLA ELECTRICA REDES O INSTALACIONES - Tendidos Eléctricos;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 1 de enero de 2015;AUTOPISTA SUR AV VILLAVICENCIO;0:03;0:21;ME02;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;60;1000;;;;;;;;;;;;;;;
jueves 1 de enero de 2015;DG 69 SUR 20D;0:07;0:40;ME24;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;100;50000;;;;;;;;;;;;;;;
jueves 1 de enero de 2015;KR 19C CL 69 SUR;0:13;0:58;ME24;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;100;30000;;;;;;;;;;;;;;;
viernes 2 de enero de 2015;KR 80H 38 SUR;0:06;3:38;ME13;ME22;;;;;;;;;2;;;;;;;;0;;1;1;7;;9;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.9 TRACCIÓN ANIMAL;;D.1.2 INDETERMINADA;D. INDETERMINADA;;;15;;;15;;;;;;;;;;;
viernes 2 de enero de 2015;KR 134 139 08;0:08;0:40;ME32;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;D.1.1 INDETERMINADA;D. INDETERMINADA;;;1;;;1;;;;;;;;;;;
viernes 2 de enero de 2015;KR 8B 108;0:06;0:34;ME17;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.2 VIVIENDA MAYORES 3 PISOS;;;B.22.2 FALLA ELECTRICA REDES O INSTALACIONES - Tendidos Eléctricos;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 2 de enero de 2015;CL 45 30;0:06;0:49;ME04;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 SERVICIO PUBLICO;1.2.2.4 TAXI;B.4 DERRAMES O FUGAS  DE LIQUIDOS INFLAMABLES O COMBUSTIBLES;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 2 de enero de 2015;KR 77 BIS A No 48 - 56;0:07;0:35;ME13;CT6;;;;;;;;;2;;;;;;;;0;;;1;6;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.24 SUPERFICIES CALIENTES;B. ACCIDENTAL;;;;1;;;1;;;;;;;;;;
