FECHA DEL EVENTO;DIRECCIÃ“N ATENCIÃ“N DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÃCULO;SUBCLASE DE VEHÃCULO;ÃREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÃREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;PoblaciÃ³n Expuesta Hombres;PoblaciÃ³n Expuesta Mujeres;PoblaciÃ³n Expuesta NiÃ±as;PoblaciÃ³n Expuesta NiÃ±os;PoblaciÃ³n Afectada Hombres;PoblaciÃ³n Afectada Mujeres;PoblaciÃ³n Afectada NiÃ±as;PoblaciÃ³n Afectada NiÃ±os;Rescatados Hombres;Rescatados Mujeres;Rescatados NiÃ±as;Rescatados NiÃ±os;Heridos Hombres;Heridos Mujeres;Heridos NiÃ±as;Heridos NiÃ±os;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales NiÃ±as;Sin signos vitales NiÃ±os;
viernes, 31 de enero de 2020;KR 68 26;4,653552727787880;-74,103264765500900;0:06:00;5:39:00;ME-04;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.2 VEHÃCULO DE SERVICIO PÃšBLICO;1.2.2.2 BUSETA (20 A 30 PASAJEROS);;;1.2.1.6 FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;1;;;;;;;;
viernes, 31 de enero de 2020;KR 89A 45A SUR;4,634525370000060;-74,176447731999900;0:13:00;1:20:00;ME-46;CT-6;;;;;;2;;;;;;1;1;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.3.1  LLAMA ABIERTA;PROVOCADA;;1;;;;1;;;;;;;;;;;;;;;
viernes, 31 de enero de 2020;DG 40 SUR 72J 35;4,609321238612860;-74,147891222991000;0:18:00;0:49:00;ME-22;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;250;INDETERMINADA;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
sÃ¡bado 1 de febrero de 2020;CL 161 55B 35;4,743482773000040;-74,057642548999900;0:02:00;1:10:00;ME-03;X-40;;;;;;2;;;;;;;1;7;;8;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.7 FALLA EN APARATO ELECTRICO;ACCIDENTAL;;1;;;;1;;;;;;;3;;;;;;;;
sÃ¡bado 1 de febrero de 2020;KR 120 17A 34;4,686268119389370;-74,156564259266100;0:11:00;1:08:00;ME-43;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.13 PERSONALES;1.1.13.4 RESTAURANTES;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
sÃ¡bado 1 de febrero de 2020;CL 55 SUR 17A 15;4,549799531000080;-74,107192140999900;0:10:00;3:44:00;ME-30;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;1;1;;;1;1;;;;;;;;;;;;;;;
sÃ¡bado 1 de febrero de 2020;CL 64A SUR 18M BIS A 66;4,556069593000070;-74,143021666999900;0:11:00;1:57:00;ME-40;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;"
";1;;;;1;;;;;;;;;;;;;;;
domingo 2 de febrero de 2020;CL 44C SUR 72A 82;4,599275169000070;-74,146075799999900;0:11:00;0:43:00;ME-22;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.1 VEHÃCULO PARTICULAR;1.2.1.3 MOTOCICLETA;;;1.2.1.14 OTRAS, CUAL, DESCRIBALA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
domingo 2 de febrero de 2020;KILOMETRO 4 VIA LA CALERA;4,675605000000000;-74,023696000000000;0:13:00;3:13:00;ME-37;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.13 PERSONALES;1.1.13.4 RESTAURANTES;;;;;1.1.1.6 FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
