FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
domingo 1 de enero de 2017;KR 72F BIS 38B SUR 24;0:09;2:16;ME22;ME8;CT6;MA4;;;;;;;4;R5;;;;;;;1;1;1;4;12;;18;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.8 FUENTE DE CALOR NO IDENTIFICADA;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
domingo 1 de enero de 2017;KR 100 16A 16;0:05;1:39;ME03;ME15;;;;;;;;;2;;;;;;;;0;;2;;8;;10;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.9 LLAMA ABIERTA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
domingo 1 de enero de 2017;KR 56 47A 11 SUR;0:05;1:17;ME35;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
domingo 1 de enero de 2017;KR 70 49 82;0:10;0:57;ME29;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;I. INDETERMINADA;INDETERMINADA;130;2000;;;;;;;;;;;;;;;
lunes 2 de enero de 2017;KR 14 93A 69;0:08;1:12;ME19;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.13 PERSONALES;1.1.13.4 RESTAURANTES;;;;A.9 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
lunes 2 de enero de 2017;PORTAL DE USME;0:03;0:24;ME18;;;;;;;;;;1;R10;;;;;;;1;;1;;7;;8;1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 VEHICULO DE SERVICIO PUBLICO;1.2.2.1 BUS;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
lunes 2 de enero de 2017;KR 34 1A;0:06;0:34;ME21;MA2;CT1;UR01;;;;;;;4;;;;;;;;0;;3;2;12;;17;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.11 SUPERFICIES CALIENTES;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
lunes 2 de enero de 2017;ALTOS DEL ZUQUE;0:16;2:53;ME26;;;;;;;;;;1;X14;;;;;;;1;;;2;6;;8;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.5 RETAMO ESPINOSO;;;;;;I. INDETERMINADA;INDETERMINADA;150;RESERVA FORESTAL;;;;;;;;;;;;;;;
lunes 2 de enero de 2017;KR 3 BIS 127B 39;0:09;0:51;ME17;;;;;;;;;;1;;;;;;;;0;;1;1;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.9 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
martes 3 de enero de 2017;KR 68 I 43 C SUR 26 ;0:08;2:53;ME22;ME8;CT6;MA4;;;;;;;4;;;;;;;;0;;1;3;10;;14;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.2 EDIFIACACIONES DE GRAN ALTURA ( MAYOR A 7 PISOS);;;A.7 FALLA EN APARATO ELECTRICO;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
