FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
viernes 1 de enero de 2016;KR 73 73 45;0:02;2:08;ME29;CT4;;;;;;;;;2;;;;;;;;0;;;2;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.22.2 FALLA ELECTRICA REDES O INSTALACIONES - Tendidos Eléctricos;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 1 de enero de 2016;CL 42 SUR 23-12;0:07;0:45;ME30;ME5;CT2;;;;;;;;3;;;;;;;;0;;1;3;7;;11;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.22.2 FALLA ELECTRICA REDES O INSTALACIONES - Tendidos Eléctricos;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 1 de enero de 2016;CL 41 BIS SUR 17A ESTE 35;0:06;5:05;ME26;;;;;;;;;;1;X14;;;;;;;1;;;3;4;;7;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MAS DE 5000 MTS 2;1.3.3.5 RETAMO ESPINOSO;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;30000;RESERVA DEL ZUQUE;1;;;1;;;;;;1;;;;;
viernes 1 de enero de 2016;KR 4B 22 D SUR 64;0:07;3:17;ME05;CT2;ME30;;;;;;;;3;;;;;;;;0;;1;3;7;;11;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;6000;10000;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;CL 13A SUR 25A ESTE;0:25;2:21;ME26;;;;;;;;;;1;;;;;;;;0;;;2;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;1000;RESERVA FORESTAL DE AGUAS CLARAS;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;ALTOS DEL ZUQUE;0:13;1:23;ME26;;;;;;;;;;1;;;;;;;;0;;;2;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.5 RETAMO ESPINOSO;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;2;ALTOS DEL ZUQUE;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;CL 3 6A ESTE 30;0:09;2:14;ME16;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;1500;40000;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;CL 156 108 29;0:16;1:49;ME32;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;300;4000;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;CL 146A 81A 52;0:15;2:37;ME20;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;400;4000;;;;;;;;;;;;;;;
viernes 1 de enero de 2016;CL 21 SUR 18 25;0:07;1:06;ME05;ME30;CT2;;;;;;;;3;;;;;;;;0;;1;3;7;;11;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;1.1.4.3.1 TIENDAS DE BARRIO Y LOCALES DE ACTIVIDAD ECONÓMICA LIMITADA EN COMERCIO Y/O SERVICIOS LIMITADOS ( Panaderias, peluquerias, miscelaneas, Etc…);;;C.5 OTROS;C. PROVOCADA;;;1;;;1;;;;;;;;;;;
sábado 2 de enero de 2016;AV MUTIS AV CALI;0:11;1:20;ME09;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;750;50000;;;;;;;;;;;;;;;
sábado 2 de enero de 2016;CL 45 SUR 1 BIS;0:21;7:32;ME26;;;;;;;;;;1;X14;;;;;;;1;;;3;4;;7;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MAS DE 5000 MTS 2;1.3.3.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;20000;40000;;;;;;;;;;;;;;;
sábado 2 de enero de 2016;CL 175 80;0:21;5:43;ME32;;;;;;;;;;1;R12;;;;;;;1;;1;1;4;;6;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MAS DE 5000 MTS 2;1.3.3.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;20000;CERRO LA CONEJERA;;;;;;;;;;;;;;;
sábado 2 de enero de 2016;CL 49B SUR 9A-56;0:09;2:25;ME33;;;;;;;;;;1;X13;;;;;;;1;1;;1;3;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;D.1.1 INDETERMINADA;D. INDETERMINADA;;;;1;1;;1;1;;;;;;;;;
sábado 2 de enero de 2016;CL 66 SUR 73;0:38;2:40;ME27;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;300;70000;;;;;;;;;;;;;;;
domingo 3 de enero de 2016;CL 59A SUR 66 75;0:08;2:01;ME24;ME33;;;;;;;;;2;X13;;;;;;;1;1;;3;6;;10;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.25 CALENTAMIENTO ESPONTANEO;B. ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
domingo 3 de enero de 2016;CL 64 121;0:09;0:49;ME09;;;;;;;;;;1;;;;;;;;0;;;3;2;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.10 CULTO;1.1.10.1 EDIFICACIONES PARA EL CULTO Y SERVICIOS PARROQUIALES;;;;C.5 OTROS;C. PROVOCADA;;;1;;;1;;;;;;;;;;;
domingo 3 de enero de 2016;KR 21C 31B SUR 23;0:09;0:42;ME05;ME30;;;;;;;;;2;;;;;;;;0;;2;1;5;;8;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.17.2 LLAMAS ABIERTAS - Velas;B. ACCIDENTAL;;;1;;;1;;;;;;;;;;;
domingo 3 de enero de 2016;KR 9C ESTE 28C 44 SUR;0:05;2:34;ME26;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 VIVIENDA HASTA 3 PISOS;;;B.22.2 FALLA ELECTRICA REDES O INSTALACIONES - Tendidos Eléctricos;B. ACCIDENTAL;;;;1;;;1;;;;;;;;;;
domingo 3 de enero de 2016;CL 174 75 05;0:01;4:25;ME20;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;100;CERRO LA CONEJERA;;;;;;;;;;;;;;;
domingo 3 de enero de 2016;DG 58 SUR 28 72;0:10;5:49;ME35;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;400;20000;;;;;;;;;;;;;;;
domingo 3 de enero de 2016;KR 7 187;0:18;3:02;ME17;ME25;;;;;;;;;2;;;;;;;;0;;;2;8;;10;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.1 VEGETACIÓN NATIVA;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;800;CERROS NORORIENTALES;;;;;;;;;;;;;;;
domingo 3 de enero de 2016;TV 6 ESTE 28A 76 SUR;0:13;1:49;ME26;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;300;CERROS SUR ORIENTALES;;;;;;;;;;;;;;;
domingo 3 de enero de 2016;CL 2 5 11 ESTE;0:06;1:04;ME16;;;;;;;;;;1;;;;;;;;0;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;D.1.3 INDETERMINADA;D. INDETERMINADA;20;10000;;;;;;;;;;;;;;;
