FECHA DEL EVENTO;DIRECCIÓN ATENCIÓN DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÍCULO;SUBCLASE DE VEHÍCULO;ÁREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÁREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Niñas;Población Expuesta Niños;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Niñas;Población Afectada Niños;Rescatados Hombres;Rescatados Mujeres;Rescatados Niñas;Rescatados Niños;Heridos Hombres;Heridos Mujeres;Heridos Niñas;Heridos Niños;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Niñas;Sin signos vitales Niños
sábado 4 de enero de 2020;CL 73A   SUR 5    41  ;457.496.800.900.009;-741.641.310.389.999;0:15:00;3:00:00;ME-31;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MÁS DE 5000 MTS/2;1.3.3.1 VEGETACIÓN NATIVA;;;;;8000;CERRO DOÑA JUANA ;1.3.1.13  OTRAS, CUAL, DESCRIBALA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;
sábado 4 de enero de 2020;DG 98   SUR 7C    35 ESTE ;449.219.998.000.007;-741.013.123.119.999;0:10:00;2:47:00;ME-31;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.3.1  LLAMA ABIERTA;PROVOCADA;1;;;;1;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 132    19A      ;471.642.234.600.006;-740.483.484.459.999;0:08:00;1:25:00;ME-42;CT-10;;;;;;2;;;;;;2;1;5;;8;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 1C    5A    93  ;458.696.686.500.008;-740.803.610.999.999;0:06:00;3:15:00;ME-38;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;           ;"4° 23´ 12""";"74° 8´ 47""";0:33:00;3:05:00;ME-31;;;;;;;1;;;;;;1;1;3;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.5 RETAMO ESPINOSO;;;;;500;CERROS SUR-ORIENTALES SUMAPAZ ;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 60C   SUR 18B    26  ;456.091.943.300.004;-741.375.887.009.999;0:08:00;1:55:00;ME-40;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
domingo 5 de enero de 2020;KR 14    74A     SUR ;451.620.633.600.004;-741.167.706.029.999;0:19:00;1:23:00;ME-05;;;;;;;1;;;;;;;1;2;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;800;100000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;KR 8   ESTE 53C     SUR ;453.689.452.414.965;-740.915.380.920.165;0:08:00;0:50:00;ME-41;;;;;;;1;;;;;;;1;5;;6;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;6;2000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;KR 16    184A      ;476.141.634.300.006;-740.373.161.499.999;0:08:00;1:56:00;ME-42;CT-10;X-38;;;;;3;;;;;;1;2;6;;9;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.13 PERSONALES;1.1.13.4 RESTAURANTES;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;KR 94    83    50 SUR ;462.496.032.800.004;-742.094.308.649.999;0:11:00;1:57:00;ME-28;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;200;5000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 81B   SUR 100C  BIS  23  ;461.856.824.621.786;-742.034.247.826.941;0:07:00;4:10:00;ME-28;;;;;;;1;;;;;;1;1;3;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 49   SUR 13D    24 ESTE ;453.642.468.400.005;-740.868.234.989.999;0:06:00;1:26:00;ME-41;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
domingo 5 de enero de 2020;CL 22    60      ;464.144.586.989.465;-741.067.187.645.856;0:05:00;0:29:00;ME-34;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;40;3000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
domingo 5 de enero de 2020;KR 69J    64C      ;467.335.810.157.452;-740.968.588.930.622;0:11:00;1:07:00;ME-34;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
lunes 6 de enero de 2020;CL 145    49    18  ;472.816.248.500.004;-740.531.712.469.999;0:08:00;2:41:00;ME-20;X-40;;;;;;2;;;;;;1;1;5;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;;2;;;;2;;;;;;;;;;;;;;
lunes 6 de enero de 2020;VEREDA EL VERJON ;460.879.000;-7.401.795.000;0:55:00;3:57:00;X-30;;;;;;;1;;;;;;;1;2;;3;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.5 RETAMO ESPINOSO;;;;;1000;1000000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
martes, 7 de enero de 2020;CL 58   SUR 18A    42  ;456.438.782.600.009;-741.339.300.809.999;0:05:00;0:50:00;ME-40;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
martes, 7 de enero de 2020;KR 15   ESTE 56     SUR ;453.232.673.500.008;-740.853.294.659.999;0:07:00;0:55:00;ME-41;;;;;;;1;;;;;;1;;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.2 RESIDUOS VEGETALES;;;;;10;INDTERMINADA ;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
martes, 7 de enero de 2020;CL 6B BIS   79C    6  ;463.621.844.100.004;-741.489.124.539.999;0:09:00;0:54:00;ME-46;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.12  SUPERFICIES CALIENTES;ACCIDENTAL;;2;;;;2;;;;;;;;;;;;;;
martes, 7 de enero de 2020;AK 72    24     SUR ;461.751.638.092.126;-741.345.280.125.617;0:19:00;1:29:00;ME-05;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;100;RIVERA DEL RIO TUNJUELITO ;1.3.1.6  FALLA ELECTRICA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;
martes, 7 de enero de 2020;KM 20 VIA QUIBA BAJA ;45.282.201;-741.662.068;0:20:00;1:53:00;ME-40;X-47;;;;;;2;;;;;;1;1;7;;9;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.2 SUBNORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
martes, 7 de enero de 2020;KR 14D BIS   138A    15 SUR ;447.187.245.200.007;-741.278.748.619.999;0:09:00;1:16:00;ME-31;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.2 SUBNORMAL;;;;;1.1.3.1  LLAMA ABIERTA;PROVOCADA;1;;;;1;;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;CL 84    23      ;467.245.622.300.004;-740.622.141.219.999;0:08:00;1:56:00;MA-03;X-41;;;;;;2;;;;;;;1;8;;9;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;CL 182    7C    35  ;475.876.935.500.008;-740.285.584.909.999;0:07:00;1:08:00;ME-20;;;;;;;1;;;;;;;;5;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.7  FALLA EN APARATO ELECTRICO;ACCIDENTAL;1;1;;;1;1;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;KR 40D    2D    45  ;461.215.374.700.009;-741.127.929.019.999;0:13:00;2:14:00;ME-34;MM-01;;;;;;2;;;;;;;1;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.2  CHISPA POR FRICCION MECANICA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;CL 71A    105I    23  ;470.726.321.200.004;-741.224.239.819.999;0:06:00;0:55:00;ME-17;;;;;;;1;;;;;;;1;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;KR 38 BIS A  1    55  ;460.487.240.700.007;-741.124.543.139.999;0:04:00;2:54:00;ME-44;;;;;;;1;;;;;;1;;5;;6;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;TV 12B   ESTE 47    43 SUR ;453.959.496.319.816;-740.862.797.253.611;0:07:00;2:22:00;ME-41;;;;;;;1;;;;;;1;;5;;6;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.3.5 RETAMO ESPINOSO;;;;;2500;10000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
miércoles, 8 de enero de 2020;CL 2A BIS B  3    1  ;458.782.030.700.007;-740.763.746.049.999;0:07:00;4:27:00;ME-38;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.8 FALLA EN APARATO ELECTRONICO;ACCIDENTAL;;2;;;2;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;AK 45    106      ;469.359.909.900.004;-740.556.256.929.999;0:16:00;0:54:00;CT-10;X-38;;;;;;2;;;;;;;1;6;;8;1. INCENDIOS;1.2 VEHICULARES;;;;;1.2.3 VEHÍCULO DE CARGA;1.2.3.1 CAMIÓN;;;1.2.4.1 INDETERMINADA;INDETERMINADA;1;;;;1;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;           ;N 4° 27 32;W 74° 3 43;0:03:00;5:43:00;ME-38;X-30;CF-04;;;;;3;;;;;;1;2;4;;7;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.2 PLANTACIÓN PINO;;;;;50;CERROS SUR ORIENTALES ;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;CL 126F    118      ;472.802.048.781.251;-741.037.584.128.123;0:11:00;2:32:00;ME-32;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;500;2.000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;CL 2    8    18  ;458.982.347.700.004;-740.815.719.369.999;0:09:00;0:30:00;CT-01;;;;;;;1;;;;;;;1;1;;2;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;1;2;;;1;2;;;;;;;;;;;;;;
jueves 9 de enero de 2020;CL 170    7      ;<4.631156> ; <-74.189865>;0:10:00;5:06:00;X-38;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MÁS DE 5000 MTS/2;1.3.3.2 PLANTACIÓN PINO;;;;;40000;CERROS ORIENTALES;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;CL 61B   SUR 11  BIS  4  ;455.569.280.400.005;-741.387.099.649.999;0:11:00;2:59:00;ME-41;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.1 VEGETACIÓN NATIVA;;;;;150;PARQUE ENTRE NUBES;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;
jueves 9 de enero de 2020;CL 71    68F    74  ;467.962.970.300.005;-740.887.720.769.999;0:06:00;3:13:00;ME-29;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;1;2;;;1;2;;;;;;;1;;;;;;;
viernes 10 de enero de 2020;AC 53    26    40  ;464.222.005.300.007;-740.757.490.049.999;0:03:00;2:25:00;ME-24;ME-03;;;;;;2;;;;;;1;1;7;;9;1. INCENDIOS;1.1 ESTRUCTURALES;;"
";1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;;;;;1.1.1.8  FALLA EN APARATO ELECTRONICO;ACCIDENTAL;2;1;;;2;1;;;;;;;;;;;;;;
viernes 10 de enero de 2020;KR 56 BIS   79A      ;467.675.021.100.007;-740.744.547.909.999;0:03:00;4:25:00;ME-29;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;1;;;;1;;;;;;;;;;;;;;;
