FECHA DEL;DIRECCIÓN;Latitud;Longitud;Tiempo de;Tiempo tot;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECU;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE S;SUBCLASE D;TIPO SUBCL;USO DE LA;CLASE DE U;SUBCLASE_1;CLASE DE V;SUBCLASE_2;ÁREA AFEC;ÁREA EXPU;ORIGEN DE;CAUSAS;Población;Poblaci�_1;Poblaci�_2;Poblaci�_3;Poblaci�_4;Poblaci�_5;Poblaci�_6;Poblaci�_7;Rescatados;Rescatad_1;Rescatad_2;Rescatad_3;Heridos Ho;Heridos Mu;Heridos Ni;Heridos _1;Sin signos;Sin sign_1;Sin sign_2;Sin sign_3;NVA CLASIF;NAME CLAS
"miércoles, 2 de octubre de 2019";KR 4    9    37;"4.595155190000000";"-74.073591170000000";0:14:00;1:57:00;MA-2;ME-21;CT-1;;;;;"3";;;;;;;"1";"8";;"9";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.6  EDUCATIVO;"1.1.6.4 PLANTELES DE EDUCACIÓN  PREESCOLAR, PRIMARIA ,BÁSICA Y MEDIA";;;;;;1.1.4.1 INDETERMINADA;INDETERMINADA;;"1";;;;"1";;;;;;;;;;;;;;;1.4.2;1.4.2 Centros multimodales
"miércoles, 2 de octubre de 2019";KR 72    93    72;"4.696565707000000";"-74.084251589999994";0:07:00;0:50:00;ME-29;;;;;;;"1";;;;;;"1";;"4";;"5";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.2 CAMIONETA;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"jueves, 3 de octubre de 2019";KR 94B    42G    18 SUR;"4.642197934000000";"-74.177349860000007";0:15:00;2:10:00;ME-46;CT-6;;;;;;"2";;;;;;;"2";"6";;"8";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"jueves, 3 de octubre de 2019";KR 64    67B    45;"4.672258154000000";"-74.084871289999995";0:10:00;4:40:00;ME-29;;;;;;;"1";;;;;;"1";;"3";;"4";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"viernes, 4 de octubre de 2019";KR 3    31B     SUR;"4.563812288000000";"-74.095583259999998";0:06:00;2:06:00;ME-41;;;;;;;"1";;;;;;"1";;"5";;"6";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.4 VEHÍCULO DE TRANSPORTE MASIVO;1.2.4.4 SITP - BUS;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"viernes, 4 de octubre de 2019";AK 72    51    7;"4.669705896000000";"-74.108784810000003";0:06:00;0:53:00;MM-01;URA01;X-39;;;;;"3";;;;;;"2";"2";"8";;"12";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;"1.1.4.3.1 TIENDAS DE BARRIO Y LOCALES DE ACTIVIDAD ECONÓMICA LIMITADA EN COMERCIO Y/O SERVICIOS LIMITADOS  ( Panaderías, peluquerías, misceláneas, dispensarios, droguerías y otros)";;;;;1.1.1.9  FUENTE DE CALOR NO IDENTIFICADA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"viernes, 4 de octubre de 2019";CL 140B    96    75;"4.740387699000000";"-74.090011829999995";0:04:00;1:19:00;ME-32;X-37;;;;;;"2";;;;;"1";;"1";"8";;"10";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.5 VEHÍCULO DE SERVICIO ESCOLAR;1.2.5.3 MICROBÚS (10 A 19 PASAJEROS);;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"sábado, 5 de octubre de 2019";CL 26    18    71;"4.617135892000000";"-74.074311170000001";0:06:00;0:57:00;ME-21;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.2 CAMIONETA;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"sábado, 5 de octubre de 2019";CL 77B    119    40;"4.722626616000000";"-74.131430190000003";0:09:00;1:32:00;ME-17;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.12  SUPERFICIES CALIENTES;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"sábado, 5 de octubre de 2019";CL 192    11A    51;"4.769994553000000";"-74.033325660000003";0:17:00;1:39:00;ME-42;CT-10;;;;;;"2";;;;;;;"2";"7";;"9";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
