No,NOMBRE,PROPIETARI,MUNICIPIO,DEPARTAMEN,DIRECCION,PAIS,result_num,status,formatted_,place_id,location_t,latlong
"193",EDS ESSO COMUNEROS,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CALLE 6 NO. 19-49,COLOMBIA,"0",OK,"Cl. 6 #19-49, Bogotá, Colombia",Eh9DbC4gNiAjMTktNDksIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJP2CFxBGZP44RB-NZU_lxSYIQMQ,RANGE_INTERPOLATED,"4.600649900000001,-74.0896985"
"194",EDS PUENTE ARANDA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CARRERA 50 NO. 19-15,COLOMBIA,"0",OK,"Calle 3 con Carrera 50,Bogotá, Colombia, Ac. 3, Bogotá, Colombia",ChIJ_R9hBk-ZP44RD-1WwSQcrsM,GEOMETRIC_CENTER,"4.6149904,-74.1146194"
"197",EDS LOS LAGARTOS,ESTACI�N LOS LAGARTOS,BOGOT�,CUNDINAMARCA,AVENIDA BOYAC� NO. 95-31,COLOMBIA,"0",OK,"Av. Boyacá #95-31, Bogotá, Colombia",EiVBdi4gQm95YWPDoSAjOTUtMzEsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJFwChUS-bP44RboMcAv2csIsQHw,RANGE_INTERPOLATED,"4.697376999999999,-74.08373379999999"
"217",EDS CAMPOALEGRE,SUPERESTACIONES DE COLOMBIA,BOGOT�,CUNDINAMARCA,AV. CIUDAD DE CALI NO. 6-93,COLOMBIA,"0",OK,"Ak. 86 #6-93, Bogotá, Colombia",Eh9Bay4gODYgIzYtOTMsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJK9WypDucP44RJctDTvErt1wQXQ,RANGE_INTERPOLATED,"4.641850499999999,-74.1550938"
"218",EDS SAN JOSE DE QUITO,INVERSIONES DANNPA,BOGOT�,CUNDINAMARCA,CARRERA 37 NO. 70A-26,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"220",GAS NATURAL TEXACO 34,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 26 NO. 32-61,COLOMBIA,"0",OK,"Av. El Dorado #32-61, Bogotá, Cundinamarca, Colombia",ChIJGUjG0NWbP44Rnl3o3vnIhlM,ROOFTOP,"4.6287364,-74.0824671"
"232",EDS TUNJUELITO,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,AVENIDA 11 NO. 51-00 SUR,COLOMBIA,"0",OK,"Bogota, Colombia",ChIJKcumLf2bP44RFDmjIFVjnSM,APPROXIMATE,"4.710988599999999,-74.072092"
"233",EDS TEXACO ORION,INVERSIONES PARMALAT,BOGOT�,CUNDINAMARCA,AUTOPISTA NORTE 13 NO. 166-73,COLOMBIA,"0",OK,"Autopista Nte. #13 NO. 166-73, Bogotá, Colombia",EjBBdXRvcGlzdGEgTnRlLiAjMTMgTk8uIDE2Ni03MywgQm9nb3TDoSwgQ29sb21iaWEiKhooChoSGAoUChIJWWP56EmFP44RhnkUfuQj2zEQDRIKTk8uIDE2Ni03Mw,RANGE_INTERPOLATED,"4.7119275,-74.0526706"
"244",EDS AVENIDA BOYAC�,TERCERO_GAZEL,BOGOT�,CUNDINAMARCA,AVENIDA BOYAC� NO. 77A-15,COLOMBIA,"0",OK,"Av. Boyacá #77a-15, Bogotá, Colombia",EiZBdi4gQm95YWPDoSAjNzdhLTE1LCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCXdUeAs7mz-OESr9l7J6ELuUEA8,RANGE_INTERPOLATED,"4.6935465,-74.091399"
"245",EDS BETANIA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 86A NO. 52-12 SUR,COLOMBIA,"0",OK,"Cra. 86a, Bosa, Bogotá, Colombia",ChIJKUfu7XCeP44R8qdfulZcb2I,GEOMETRIC_CENTER,"4.6215002,-74.1838891"
"252",EDS  INDUSTRIAL BOYACA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CARRERA 71 NO. 19-53,COLOMBIA,"0",OK,"Cra. 71 #19-53, Bogotá, Colombia",EiFDcmEuIDcxICMxOS01MywgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgn5fgEYips_jhGEuTEGzddWwRA1,RANGE_INTERPOLATED,"4.6522868,-74.12262220000001"
"260",EDS GAS NATURAL PORTAL DE ALAMOS,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 98 NO. 63-39,COLOMBIA,"0",OK,"Cra. 98 #63-39, Zona 6, Bogotá, Colombia",ChIJn8flklibP44Rsrgh3kfMtH0,ROOFTOP,"4.694495,-74.122648"
"261",EDS VILLA CLAUDIA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 68 NO. 14-21,COLOMBIA,"0",OK,"Cundinamarca, Colombia",ChIJK68WFusoP44R7QjR-rW8PJM,APPROXIMATE,"5.026002999999999,-74.0300122"
"264",EDS ERMITA CAPILLA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,AVENIDA CARACAS NO. 45-25,COLOMBIA,"0",OK,"Av. Caracas #45-25, Bogotá, Colombia",EiVBdi4gQ2FyYWNhcyAjNDUtMjUsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJa8EnGC-aP44RiNHyFDUzOd8QGQ,RANGE_INTERPOLATED,"4.6327291,-74.0675411"
"267",EDS CENTRO BOGOT� (AUTOMOVIL CLUB),ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 13 NO. 16-77,COLOMBIA,"0",OK,"Cra. 13 #16-77, Bogotá, Colombia",EiFDcmEuIDEzICMxNi03NywgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgnrjJMKoJk_jhGg0ai_m6jCWhBN,RANGE_INTERPOLATED,"4.6059817,-74.07678059999999"
"278",EDS CRUZ ROJA,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AVENIDA CARRERA 68    67B-05,COLOMBIA,"0",OK,"Ak 68 #67b-5, Bogotá, Colombia",Eh9BayA2OCAjNjdiLTUsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJsYpOgwWbP44RIMa_dW-2a5MQBQ,RANGE_INTERPOLATED,"4.6740692,-74.0882991"
"285",EDS TERPEL GANADERO,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AVENIDA BOYAC� NO. 70-53 SUR,COLOMBIA,"0",OK,"Av. Boyacá #70-53, Bogotá, Colombia",EiVBdi4gQm95YWPDoSAjNzAtNTMsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJM-KIsBWbP44R5iMueyYqtwkQNQ,RANGE_INTERPOLATED,"4.6854871,-74.0966467"
"286",EDS TUGAS AV. CIUDAD DE CALI,INVERSIONES G�MEZ MONTA�EZ LTDA.,BOGOT�,CUNDINAMARCA,CARRERA 83  13A-05,COLOMBIA,"0",OK,"Cra. 83 #13a-5, Bogotá, Colombia",EiFDcmEuIDgzICMxM2EtNSwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgl9dQujbpw_jhHam7FkXGGF4xAF,RANGE_INTERPOLATED,"4.6534919,-74.1406518"
"293",EDS CRUCE DE MOSQUERA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CALLE 13  3-59 ESTE,COLOMBIA,"0",OK,"Cl. 13 #3-59, Mosquera, Cundinamarca, Colombia",Ei5DbC4gMTMgIzMtNTksIE1vc3F1ZXJhLCBDdW5kaW5hbWFyY2EsIENvbG9tYmlhIhoSGAoUChIJSQON7iCdP44RTqyT00X9S9QQOw,RANGE_INTERPOLATED,"4.6921649,-74.1730066"
"302",EDS AUTOPISTA MEDELL�N,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,KIL�METRO 1 V�A SIBERIA - BOGOT�,COLOMBIA,"0",OK,"Autopista Medellín,Vía Siberia, Km. 3,5 Bogotá-La Vega, Cota, Cundinamarca, Colombia",ChIJj1TsP5-DP44RwKnBMj-YUn4,GEOMETRIC_CENTER,"4.7530721,-74.14546059999999"
"304",GNV ESSO EL TESORO,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 17  115-81,COLOMBIA,"0",OK,"Cl. 17 #115-81, Bogotá, Colombia",ChIJaRmm2-6cP44RK3y0x-nKGOQ,ROOFTOP,"4.682707,-74.15576000000001"
"313",EDS FUNDACION AVENIDA ROJAS,GNE SOLUCIONES SAS,BOGOT�,CUNDINAMARCA,CARRERA 70 o AVENIDA ROJAS 70  64-39,COLOMBIA,"0",OK,"Estación Avenida Rojas ##70-32, Bogotá, Colombia",ChIJNyoUl5ubP44RBVtwJou86eM,ROOFTOP,"4.6614479,-74.1084659"
"328",EDS BRIO ROCAMAR,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 7  168 - 69,COLOMBIA,"0",OK,"Cra. 7 #168-69, Bogotá, Colombia",EiFDcmEuIDcgIzE2OC02OSwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgnHD2WVeI8_jhEQdjLVNTK1xBBF,RANGE_INTERPOLATED,"4.746646399999999,-74.0228073"
"329",EDS SAN MIGUEL DEL NORTE / PAFISS DE COLOMBIA S.A.S.,INVERSIONES ALDEMAR S EN C,BOGOT�,CUNDINAMARCA,CALLE 130 No. 45-34,COLOMBIA,"0",OK,"CALLE 130# #45-34, Bogotá, Cundinamarca, Colombia",ChIJq5N1XZeFP44Rv64wJVuFgfM,ROOFTOP,"4.7165824,-74.0528604"
