No;NOMBRE;PROPIETARIO;MUNICIPIO;DEPARTAMENTO;DIRECCION;PAIS
150;EDS PUENTE AEREO;ESTANDAR ENERGY  COMPANY  S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA EL DORADO NO. 97 - 50;COLOMBIA
151;EDS SEVILLANA;IMPORTACIONES DOBERMAN LTDA;BOGOTÁ;CUNDINAMARCA;AC 45 A SUR NO. 59A-35;COLOMBIA
152;EDS TEXACO 4;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 30 NO. 4 - 51;COLOMBIA
158;EDS AVENIDA CHILE;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 91A NO. 72 - 26;COLOMBIA
161;EDS GARROLLANTAS;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA 1 NO. 24 -08;COLOMBIA
169;EDS LA EUROPA;GRUPO LOMA LTDA;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACÁ NO. 68B - 72;COLOMBIA
171;EDS BRIOGAS SUBA;BRIOGAS S.A.;BOGOTÁ;CUNDINAMARCA;CALLE 145 NO. 94D-90;COLOMBIA
172;EDS QUIROGA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AVENIDA CARACAS NO. 27 - 25 SUR;COLOMBIA
181;EDS MUZU ESSO;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AVENIDA 27 SUR NO. 44-96;COLOMBIA
183;EDS LA AMERICANA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CALLE 13 NO. 57-24;COLOMBIA
184;EDS DISENERCOM DISTRIBUIDORES DE ENERGIA Y  COMBUSTIBL;DISENERCOM S.A.;BOGOTÁ;CUNDINAMARCA;CALLE 12 NO. 35-50;COLOMBIA
185;EDS TEXACO 16;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 30 NO. 41-25;COLOMBIA
186;EDS TEXACO 19;DISTRIBUCOM LTDA;BOGOTÁ;CUNDINAMARCA;CALLE 19 BIS SUR NO. 32-79;COLOMBIA
187;EDS TEXACO 40;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 26 SUR NO. 49A-75;COLOMBIA
190;EDS TEXACO 25;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;DIAGONAL 12 SUR NO. 14B-61 - HOY  DIRECCIÓN NUEVA AV. CALLE 11 SUR NO. 15 11. TEL;COLOMBIA
191;EDS SEXTA ANTIGUA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;DIAGONAL 6 NO. 16A-14;COLOMBIA
192;EDS ESSO LOS HEROES;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AVENIDA 13 NO. 78-77;COLOMBIA
193;EDS ESSO COMUNEROS;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CALLE 6 NO. 19-49;COLOMBIA
194;EDS PUENTE ARANDA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CARRERA 50 NO. 19-15;COLOMBIA
197;EDS LOS LAGARTOS;ESTACIÓN LOS LAGARTOS;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACÁ NO. 95-31;COLOMBIA
200;EDS ESSO CIUDAD SALITRE;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CALLE 22 C NO. 68D-20;COLOMBIA
214;EDS GAZEL TERPEL JAVERIANA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 7 NO. 39-41;COLOMBIA
217;EDS CAMPOALEGRE;SUPERESTACIONES DE COLOMBIA;BOGOTÁ;CUNDINAMARCA;AV. CIUDAD DE CALI NO. 6-93;COLOMBIA
218;EDS SAN JOSE DE QUITO;INVERSIONES DANNPA;BOGOTÁ;CUNDINAMARCA;CARRERA 37 NO. 70A-26;COLOMBIA
220;GAS NATURAL TEXACO 34;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 26 NO. 32-61;COLOMBIA
232;EDS TUNJUELITO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AVENIDA 11 NO. 51-00 SUR;COLOMBIA
233;EDS TEXACO ORION;INVERSIONES PARMALAT;BOGOTÁ;CUNDINAMARCA;AUTOPISTA NORTE 13 NO. 166-73;COLOMBIA
240;EDS TEXACO 31;COMBUSTIBLES DE COLOMBIA S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA CARRERA 30 NO. 17A-56;COLOMBIA
244;EDS AVENIDA BOYACÁ;TERCERO_GAZEL;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACÁ NO. 77A-15;COLOMBIA
245;EDS BETANIA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 86A NO. 52-12 SUR;COLOMBIA
252;EDS  INDUSTRIAL BOYACA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CARRERA 71 NO. 19-53;COLOMBIA
260;EDS GAS NATURAL PORTAL DE ALAMOS;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 98 NO. 63-39;COLOMBIA
261;EDS VILLA CLAUDIA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 68 NO. 14-21;COLOMBIA
264;EDS ERMITA CAPILLA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AVENIDA CARACAS NO. 45-25;COLOMBIA
267;EDS CENTRO BOGOTÁ (AUTOMOVIL CLUB);ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CARRERA 13 NO. 16-77;COLOMBIA
277;EDS COMPOSTELA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;TRANSVERSAL 66  148-32;COLOMBIA
278;EDS CRUZ ROJA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA CARRERA 68    67B-05;COLOMBIA
285;EDS TERPEL GANADERO;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACÁ NO. 70-53 SUR;COLOMBIA
286;EDS TUGAS AV. CIUDAD DE CALI;INVERSIONES GÓMEZ MONTAÑEZ LTDA.;BOGOTÁ;CUNDINAMARCA;CARRERA 83  13A-05;COLOMBIA
293;EDS CRUCE DE MOSQUERA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CALLE 13  3-59 ESTE;COLOMBIA
302;EDS AUTOPISTA MEDELLÍN;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;KILÓMETRO 1 VÍA SIBERIA - BOGOTÁ;COLOMBIA
304;GNV ESSO EL TESORO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 17  115-81;COLOMBIA
309;EDS AUTOMARKET BRASIL;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AVENIDA CALLE 6  34-90;COLOMBIA
313;EDS FUNDACION AVENIDA ROJAS;GNE SOLUCIONES SAS;BOGOTÁ;CUNDINAMARCA;CARRERA 70 o AVENIDA ROJAS 70  64-39;COLOMBIA
322;EDS PETROBRAS SAN MATEO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AUTOPISTA SUR, CARRERA 4  31-320, SOACHA;COLOMBIA
328;EDS BRIO ROCAMAR;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 7  168 - 69;COLOMBIA
329;EDS SAN MIGUEL DEL NORTE / PAFISS DE COLOMBIA S.A.S.;INVERSIONES ALDEMAR S EN C;BOGOTÁ;CUNDINAMARCA;CALLE 130 No. 45-34;COLOMBIA
331;EDS EL DARIEN;INVERSIONES RENGIFO ROJAS Y  CIA.;BOGOTÁ;CUNDINAMARCA;CARRERA 69B  26-35;COLOMBIA
335;EDS BIOMAX TINTAL;GNE SOLUCIONES SAS;BOGOTÁ;CUNDINAMARCA;AC 54 SUR 89a -55;COLOMBIA
342;EDS ANDES;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;CARRERA 80  58L-15 SUR;COLOMBIA
348;EDS LA PALMA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. CRA. 68 NO. 13 - 87;COLOMBIA
351;EDS ESSO AVENIDA BOYACA;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AV. BOYACA NO. 12B - 35;COLOMBIA
358;EDS ALFA COMPRESION S.A./ EDS CENTENARIO;ALFA COMPRESION S.A.;BOGOTÁ;CUNDINAMARCA;Av  Carrera 45 # 103 - 34;COLOMBIA
359;EDS LOS FUNDADORES;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. 1A MAYO NO. 68 I-46 SUR;COLOMBIA
361;EDS CARREFOUR LA ALQUERIA / EDS CENCOSUD ALQUERIA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AV CRA 68 No. 38B 18 SUR;COLOMBIA
366;EDS EXPRESO BOGOTÁNO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. 68 NO. 43 - 67SUR;COLOMBIA
375;EDS SAN RAFAEL - PUENTE ARANDA;COMPAÑÍA DE NEGOCIOS;BOGOTÁ;CUNDINAMARCA;CRA, 49 NO. 9-24 BARRIO SAN RAFAEL;COLOMBIA
376;EDS GNV BRIO - ALTAMAR;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. CIUDAD DE CALI NO. 99 - 10;COLOMBIA
381;EDS BAVARIA S.A. - CERVECERIA BOGOTÁ;BAVARIA S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACA NO. 9 - 02;COLOMBIA
384;EDS DE GNV PALOQUEMAO;COMBUSTIBLES VEHICULARES DE;BOGOTÁ;CUNDINAMARCA;TRANSVERSAL 22 NO. 19/28/44/60;COLOMBIA
391;EDS SERVYCOM;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CRA, 55 NO. 72 - 32 - BARRIO NORMANDIA;COLOMBIA
394;EDS SAN CARLOS;IMPORGAS S.A.;BOGOTÁ;CUNDINAMARCA;AV. CARACAS NO. 50-73 SUR;COLOMBIA
399;EDS CARREFOUR MARRUECOS;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. CARACAS NO. 49- 28 SUR;COLOMBIA
406;EDS GNCV;GAS CENTRAL DE LA SABANA;BOGOTÁ;CUNDINAMARCA;AK 72 (AV. BOYACA) NO. 31- 40 SUR;COLOMBIA
413;EDS TEXACO TUNAL LUBRICANTES Y  COMBUSTIBLES DEL;LUBRICANTES Y  COMBUSTIBLES DEL;BOGOTÁ;CUNDINAMARCA;CALLE 46 SUR NO. 24 A - 03;COLOMBIA
418;EDS PETROBRAS CALLE 13;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 13 NO. 68 B - 88 BARRIO MONTEVIDEO;COLOMBIA
426;EDS LIBERTADORES;EXXON MOBIL COLOMBIA - AUTOMARKET;BOGOTÁ;CUNDINAMARCA;AV. CARACAS NO. 75 - 18;COLOMBIA
427;EDS COUNTRY;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. 19 NO. 127C - 50;COLOMBIA
429;EDS EN BAVARIA S.A. - CERVECERIA LEONA;BAVARIA S.A.;BOGOTÁ;CUNDINAMARCA;AUTOP. NORTE KM. 30 VIA BOGOTÁ - TUNJA, TOCANCIPA - CUNDINAMARCA;COLOMBIA
430;EDS TEXACO SUBA EDS LA JUANA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. CALLE 145 NO. 94D - 95;COLOMBIA
435;EDS TERPEL LA 49 NORMANDIA;ORGANIZACION TERPEL S.A.;BOGOTA;CUNDINAMARCA;CARRERA 72 No. 49 - 30 (NORMANDIA);COLOMBIA
436;EDS TERPEL CONEJERA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CRA. 98 NO. 140B - 86;COLOMBIA
438;EDS CARREFOUR TINTALITO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AV. CIUDAD DE CALI NO. 40B - 69 SUR;COLOMBIA
441;EDS CARREFOUR BOSA - ATALAYAS;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CRA 92 NO. 60-90 SUR;COLOMBIA
443;EDS AUTOSERVICIO AV. TERCERA;DISTRIBUIDORA DE CARBURANTES;BOGOTÁ;CUNDINAMARCA;AV. CALLE 3 NO. 34 A - 82;COLOMBIA
444;EDS YOMASA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 3D No. 88-04 SUR;COLOMBIA
450;EDS CARREFOUR EL TREBOL;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;GAS NATURAL FENOSA;COLOMBIA
454;EDS IBERIA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CLL 134 NO. 53 - 51;COLOMBIA
458;EDS BRIO BIMA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;AUTOP. NORTE 232 - 35;COLOMBIA
468;EDS GNV PRADERA DE SUBA;A.B.A. CENTRAL DE COMBUSTIBLES Y;BOGOTÁ;CUNDINAMARCA;CRA. 104 NO. 151C - 84;COLOMBIA
469;EDS AMERICAS II;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRERA 54 NO. 5C - 91;COLOMBIA
477;EDS PETROBRAS VERGEL;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 13 A NO. 83 - 25/65;COLOMBIA
481;EDS A GAS LAS FLORES Y/O JAVIER LEYVA GONZALEZ;ESTACIÓN DE SERVICIO A GAS LAS;BOGOTÁ;CUNDINAMARCA;CALLE 25 SUR NO. 86-50;COLOMBIA
483;EDS CARREFOUR SAN CAYETANO;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 46 A N 85 A 51;COLOMBIA
484;EDS CARREFOUR VERAGUAS;CENCOSUD;BOGOTÁ;CUNDINAMARCA;CALLE 3 NO. 34 A 82;COLOMBIA
487;EDS CALLE 50;JAIRO AUGUSTO QUIJANO CARRILLO;BOGOTÁ;CUNDINAMARCA;CARRERA 17 NO. 50 - 42;COLOMBIA
506;EDS EL PROVEEDOR DE COMBUSTIBLES LTDA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CALLE 13 NO. 33 - 10 BOGOTÁ;COLOMBIA
