No;NOMBRE;PROPIETARIO;MUNICIPIO;DEPARTAMENTO;DIRECCION;PAIS
722;EDS BARRIO COLOMBIA;GAS NATURAL FENOSA;BOGOTÁ;CUNDINAMARCA;CARRETERA EL VIAJANO - SAN MARCOS, KM. 11,6 CORREGIMIENTO EL CRUCERO, EN;COLOMBIA
733;ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FONTIBON;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;CALLE22 N 98A 03 FONTIBON;COLOMBIA
734;EDS TERPEL AV BOYACA;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AVENIDA BOYACA 77 A - 15;COLOMBIA
735;CARREFOUR ALAMOS;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;AV 72 N. 91A-45;COLOMBIA
736;ESTACION DE SERVICIO GNV PRIMERA DE MAYO;ORGANIZACIÓN TERPEL S.A.;BOGOTÁ;CUNDINAMARCA;TRASVERSAL 72 No. 35 - 09 SUR;COLOMBIA
748;ESTACION DE SERVICIO LA ISABELA;JUAN MARTIN LTDA;BOGOTÁ;CUNDINAMARCA;DIAGONAL 63 F No. 86-34 localidad de Engativ a;COLOMBIA
752;ESTACION DE SERVICIO TEXACO 7 DE AGOSTO DISTRILUB LTDA;;BOGOTA;CUNDINAMARCA;CARRERA 15 No. 67 - 49;COLOMBIA
753;ESTACIO DE SERVICIO INCONCENTRO CALLE 49;GRUPO AUTOMOTRIZ EDS AUTOGAS S.A.;BOGOTA;CUNDINAMARCA;CARRERA 14 No 48 - 74  (Chapinero);COLOMBIA
758;ESTACION DE SERVICIO CALLE 80 - COMBUSTIBLES CAPITAL S.A.S;COMBUSTIBLES CAPITAL S.A.S.;BOGOTA;CUNDINAMARCA;DIAG 77 A No. 90- 26;COLOMBIA
759;ESTACION DE SERVICIO AUTOMOTRIZ EGAS AVE BOYACA;ENERGIA DE GAS S.A.S.;BOGOTA;CUNDINAMARCA;AC 71 SUR No. 31-40;COLOMBIA
765;ESTACION DE SERVICIO MILENIUM GAS KENNEDY;GERARDO JAVIER ALVARADO CUBILLOS;BOGOTA;CUNDINAMARCA;AVENIDA CALLE 43 SUR No. 78N-05;COLOMBIA
773;EDS LA ESTANCIA;UNIGAS S.A.S.;BOGOTA;CUNDINAMARCA;Autopista Sur No. 75-21;COLOMBIA
